h3_index,sst_mean_celsius,sst_std_celsius,sst_quality,latitude,longitude,n_points,date,confidence,anomaly_celsius
85013003fffffff,0.03467037,0.00020790142,0.0,70.31096,32.29862,27,2024-11-17,high,-0.07390942
85013007fffffff,0.034124997,0.0003917412,0.7142857142857143,70.41369,32.01489,14,2024-11-17,high,-0.074454784
8501300bfffffff,0.03495,0.0,0.0,70.354164,32.47917,1,2024-11-17,low,-0.07362978
8501300ffffffff,0.034675,0.0004958146,0.0,70.4375,32.29167,10,2024-11-17,high,-0.07390478
85013017fffffff,0.034525,0.0,0.0,70.270836,32.10417,1,2024-11-17,low,-0.074054785
8501303bfffffff,0.03536,0.0005254766,0.0,70.479164,32.14584,5,2024-11-17,medium,-0.07321978
85013043fffffff,0.033749998,0.0,0.0,70.20833,33.58334,4,2024-11-17,medium,-0.07482979
8501304bfffffff,0.03405294,0.00020594276,0.0,70.212006,33.82476,17,2024-11-17,high,-0.07452685
85013053fffffff,0.034386113,0.00049923605,0.0,70.09953,33.178246,9,2024-11-17,high,-0.07419367
85013057fffffff,0.0347,0.0,0.0,70.173615,33.06945,6,2024-11-17,high,-0.073879786
8501305bfffffff,0.034090217,0.0006308698,0.17391304347826086,70.11141,33.69113,23,2024-11-17,high,-0.07448956
85013087fffffff,0.032175,0.0,2.0,70.1875,31.500008,2,2024-11-17,medium,-0.07640478
8501308ffffffff,0.032175,0.0,2.0,70.1875,31.58334,2,2024-11-17,medium,-0.07640478
850130abfffffff,0.033625,0.0,2.0,70.40972,31.743063,3,2024-11-17,medium,-0.074954785
850130bbfffffff,0.032175,0.0,2.0,70.229164,31.541674,4,2024-11-17,medium,-0.07640478
850130cffffffff,0.0345,0.0,0.0,70.08333,33.062508,2,2024-11-17,medium,-0.07407978
85013213fffffff,0.032723434,0.0011556556,0.25,70.2526,35.028652,16,2024-11-17,high,-0.07585635
85013217fffffff,0.031612497,0.00012374314,0.0,70.3125,34.83334,2,2024-11-17,medium,-0.076967284
8501321bfffffff,0.031944998,0.00062609883,0.0,70.229164,35.437508,5,2024-11-17,medium,-0.07663479
85013243fffffff,0.028639285,0.00046468663,1.1428571428571428,70.3006,36.404766,14,2024-11-17,high,-0.0799405
8501324bfffffff,0.028141664,0.00034858932,0.0,70.27431,36.826397,12,2024-11-17,high,-0.08043812
8501324ffffffff,0.028295,0.00041321875,0.4,70.354164,36.479176,5,2024-11-17,medium,-0.08028479
8501325bfffffff,0.029344996,0.0012349586,0.8,70.1375,36.72084,5,2024-11-17,medium,-0.07923479
85013283fffffff,0.03470972,0.0016424764,0.8888888888888888,70.12731,34.525467,18,2024-11-17,high,-0.07387006
85013287fffffff,0.03263125,0.0011124983,1.5,70.197914,34.218758,4,2024-11-17,medium,-0.07594854
8501328bfffffff,0.03391346,0.0007116611,0.0,70.152245,34.935905,26,2024-11-17,high,-0.07466632
8501328ffffffff,0.030521665,0.0014667711,0.9333333333333333,70.273605,34.726395,15,2024-11-17,high,-0.07805812
85013293fffffff,0.035035,0.0015228387,0.0,70.0125,34.425007,20,2024-11-17,high,-0.073544785
85013297fffffff,0.033910412,0.0008703741,0.6666666666666666,70.142365,34.059032,12,2024-11-17,high,-0.074669376
8501329bfffffff,0.0346921,0.0009015446,0.10526315789473684,70.01426,34.781807,19,2024-11-17,high,-0.07388768
850132c3fffffff,0.03718055,0.000686103,0.4444444444444444,70.04398,35.621147,27,2024-11-17,high,-0.071399234
850132c7fffffff,0.035099108,0.0026685887,0.0,70.15476,35.345245,28,2024-11-17,high,-0.07348068
850132cbfffffff,0.03683036,0.0016732686,0.6785714285714286,70.04613,36.032745,28,2024-11-17,high,-0.07174943
850132cffffffff,0.038041666,0.00045568263,0.0,70.15047,35.7176,18,2024-11-17,high,-0.07053812
850132d3fffffff,0.034664284,0.0014272525,1.4285714285714286,69.895836,35.59822,7,2024-11-17,high,-0.0739155
850132d7fffffff,0.035677884,0.0019998534,0.15384615384615385,70.03846,35.1827,26,2024-11-17,high,-0.072901905
850132dbfffffff,0.03599583,0.0017590551,0.4166666666666667,69.9375,35.876743,24,2024-11-17,high,-0.07258396
85013623fffffff,0.03455,0.0,0.0,69.9375,33.937508,1,2024-11-17,low,-0.07402979
85013627fffffff,0.03388,0.00069530285,0.0,70.03334,33.57917,10,2024-11-17,high,-0.07469979
8501362bfffffff,0.033147916,0.0007643672,0.0,69.92014,34.29862,12,2024-11-17,high,-0.07543187
8501362ffffffff,0.034558695,0.00022545522,0.34782608695652173,70.015396,33.979176,23,2024-11-17,high,-0.074021086
85013667fffffff,0.033252377,0.0011040517,0.0,69.91964,34.643856,21,2024-11-17,high,-0.07532741
8501366bfffffff,0.032575,0.0,0.0,69.79167,35.500008,4,2024-11-17,medium,-0.07600479
8501366ffffffff,0.03315375,0.001074197,0.0,69.92084,35.04792,20,2024-11-17,high,-0.075426035
85019403fffffff,0.009142308,0.0033841226,0.19230769230769232,70.22436,58.230778,26,2024-11-17,high,-0.099437475
85019407fffffff,0.011012499,0.003430691,0.875,70.322914,58.072926,8,2024-11-17,high,-0.09756728
8501940bfffffff,0.007046428,0.0001219873,0.0,70.1875,58.49108,7,2024-11-17,high,-0.10153335
8501940ffffffff,0.005895833,0.000177685,0.3333333333333333,70.29514,58.45487,12,2024-11-17,high,-0.102683954
85019413fffffff,0.012774218,0.0007971594,0.5,70.126305,57.916676,32,2024-11-17,high,-0.09580557
85019417fffffff,0.013365516,0.00035527998,0.0,70.27083,57.799576,29,2024-11-17,high,-0.09521427
8501941bfffffff,0.010741912,0.0030167128,0.35294117647058826,70.08333,58.34192,34,2024-11-17,high,-0.09783787
8501948bfffffff,0.012274999,0.0020208287,0.3333333333333333,70.0625,57.75001,6,2024-11-17,high,-0.09630479
